season,episode,title,imdb_rating
1,1,Simpsons Roasting on an Open Fire,8.101234567891
1,2,Bart the Genius,7.701234567891
1,3,Homer's Odyssey,7.301234567891
1,4,There's No Disgrace Like Home,7.701234567891
1,5,Bart the General,7.901234567891
1,6,Moaning Lisa,7.601234567891
1,7,The Call of the Simpsons,7.801234567891
1,8,The Telltale Head,7.601234567891
1,9,Life on the Fast Lane,7.401234567891
1,10,Homer's Night Out,7.301234567891
1,11,The Crepes of Wrath,7.801234567891
1,12,Krusty Gets Busted,8.301234567891
1,13,Some Enchanted Evening,7.701234567891
2,1,Bart Gets an F,8.201234567891
2,2,Simpson and Delilah,8.201234567891
2,3,Treehouse of Horror,8.201234567891
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.001234567891
2,5,Dancin' Homer,7.401234567891
2,6,Dead Putting Society,8.001234567891
2,7,Bart vs. Thanksgiving,7.701234567891
2,8,Bart the Daredevil,8.301234567891
2,9,Itchy & Scratchy & Marge,8.101234567891
2,10,Bart Gets Hit by a Car,7.801234567891
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.801234567891
2,12,The Way We Was,8.201234567891
2,13,Homer vs. Lisa and the 8th Commandment,8.001234567891
2,14,Principal Charming,7.501234567891
2,15,"Oh Brother, Where Art Thou?",8.301234567891
2,16,Bart's Dog Gets an F,7.501234567891
2,17,Old Money,7.601234567891
2,18,Brush with Greatness,7.901234567891
2,19,Lisa's Substitute,8.601234567891
2,20,The War of the Simpsons,7.801234567891
2,21,Three Men and a Comic Book,8.301234567891
2,22,Blood Feud,7.801234567891
3,1,Stark Raving Dad,8.601234567891
3,2,Mr. Lisa Goes to Washington,7.701234567891
3,3,When Flanders Failed,8.201234567891
3,4,Bart the Murderer,8.601234567891
3,5,Homer Defined,8.401234567891
3,6,"Like Father, Like Clown",7.601234567891
3,7,Treehouse of Horror II,8.201234567891
3,8,Lisa's Pony,7.901234567891
3,9,Saturdays of Thunder,7.901234567891
3,10,Flaming Moe's,8.801234567891
3,11,Burns Verkaufen der Kraftwerk,8.201234567891
3,12,I Married Marge,8.301234567891
3,13,Radio Bart,8.501234567891
3,14,Lisa the Greek,8.001234567891
3,15,Homer Alone,8.001234567891
3,16,Bart the Lover,8.301234567891
3,17,Homer at the Bat,8.701234567891
3,18,Separate Vocations,8.201234567891
3,19,Dog of Death,7.701234567891
3,20,Colonel Homer,8.001234567891
3,21,Black Widower,8.301234567891
3,22,The Otto Show,7.701234567891
3,23,Bart's Friend Falls in Love,7.701234567891
3,24,"Brother, Can You Spare Two Dimes?",8.201234567891
4,1,Kamp Krusty,8.501234567891
4,2,A Streetcar Named Marge,8.101234567891
4,3,Homer the Heretic,8.901234567891
4,4,Lisa the Beauty Queen,7.701234567891
4,5,Treehouse of Horror III,8.401234567891
4,6,Itchy & Scratchy: The Movie,8.201234567891
4,7,Marge Gets a Job,7.801234567891
4,8,New Kid on the Block,8.201234567891
4,9,Mr. Plow,8.801234567891
4,10,Lisa's First Word,8.701234567891
4,11,Homer's Triple Bypass,8.601234567891
4,12,Marge vs. the Monorail,9.101234567891
4,13,Selma's Choice,8.001234567891
4,14,Brother from the Same Planet,8.201234567891
4,15,I Love Lisa,8.401234567891
4,16,Duffless,8.401234567891
4,17,Last Exit to Springfield,9.001234567891
4,18,So It's Come to This: A Simpsons Clip Show,7.001234567891
4,19,The Front,8.101234567891
4,20,Whacking Day,8.101234567891
4,21,Marge in Chains,7.701234567891
4,22,Krusty Gets Kancelled,8.101234567891
5,1,Homer's Barbershop Quartet,8.501234567891
5,2,Cape Feare,9.101234567891
5,3,Homer Goes to College,8.601234567891
5,4,Rosebud,8.801234567891
5,5,Treehouse of Horror IV,8.801234567891
5,6,Marge on the Lam,8.001234567891
5,7,Bart's Inner Child,7.601234567891
5,8,Boy Scoutz 'n the Hood,8.601234567891
5,9,The Last Temptation of Homer,8.501234567891
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.601234567891
5,11,Homer the Vigilante,8.201234567891
5,12,Bart Gets Famous,8.101234567891
5,13,Homer and Apu,8.201234567891
5,14,Lisa vs. Malibu Stacy,8.101234567891
5,15,Deep Space Homer,8.801234567891
5,16,Homer Loves Flanders,8.501234567891
5,17,Bart Gets an Elephant,7.801234567891
5,18,Burns' Heir,8.301234567891
5,19,Sweet Seymour Skinner's Baadasssss Song,8.301234567891
5,20,The Boy Who Knew Too Much,8.301234567891
5,21,Lady Bouvier's Lover,7.501234567891
5,22,Secrets of a Successful Marriage,8.001234567891
6,1,Bart of Darkness,8.701234567891
6,2,Lisa's Rival,8.101234567891
6,3,Another Simpsons Clip Show,5.801234567891
6,4,Itchy & Scratchy Land,8.601234567891
6,5,Sideshow Bob Roberts,8.201234567891
6,6,Treehouse of Horror V,9.101234567891
6,7,Bart's Girlfriend,8.101234567891
6,8,Lisa on Ice,8.601234567891
6,9,Homer Badman,8.901234567891
6,10,Grampa vs. Sexual Inadequacy,8.101234567891
6,11,Fear of Flying,7.701234567891
6,12,Homer the Great,9.001234567891
6,13,And Maggie Makes Three,8.801234567891
6,14,Bart's Comet,8.701234567891
6,15,Homie the Clown,8.601234567891
6,16,Bart vs. Australia,8.501234567891
6,17,Homer vs. Patty and Selma,7.801234567891
6,18,A Star Is Burns,8.501234567891
6,19,Lisa's Wedding,8.301234567891
6,20,Two Dozen and One Greyhounds,8.101234567891
6,21,The PTA Disbands,8.001234567891
6,22,'Round Springfield,8.201234567891
6,23,The Springfield Connection,8.201234567891
6,24,Lemon of Troy,8.701234567891
6,25,Who Shot Mr. Burns? Part One,9.201234567891
7,1,Who Shot Mr. Burns? Part Two,9.001234567891
7,2,Radioactive Man,8.301234567891
7,3,Home Sweet Home-Dum-Diddly Doodily,8.401234567891
7,4,Bart Sells His Soul,8.801234567891
7,5,Lisa the Vegetarian,8.501234567891
7,6,Treehouse of Horror VI,8.601234567891
7,7,King Size Homer,9.001234567891
7,8,Mother Simpson,8.701234567891
7,9,Sideshow Bob's Last Gleaming,8.001234567891
